alpha,dtv,case
0.001,0.5037877671976194,small
0.021,0.48246069038265454,small
0.041,0.4787574799962369,small
0.061,0.45181791758328566,small
0.081,0.43759803267884845,small
0.101,0.3690809090218281,small
0.121,0.3868028028708334,small
0.14100000000000001,0.3525672791305528,small
0.161,0.2521205327069832,small
0.181,0.24525300013155882,small
0.201,0.24304331173571295,small
0.221,0.24259091498109647,small
0.241,0.24267434780046876,small
0.261,0.22710911651135546,small
0.281,0.24587048829340424,small
0.301,0.24222647786681953,small
0.321,0.24035704771707297,small
0.341,0.24882180628897288,small
0.361,0.24723360191006846,small
0.381,0.23152315132805096,small
0.401,0.2311378084009483,small
0.421,0.23088438129845146,small
0.441,0.19066471364681065,small
0.461,0.17830881283448966,small
0.481,0.16641955994038038,small
0.501,0.16806764475569044,small
0.521,0.1690441757474936,small
0.541,0.16964352275595385,small
0.561,0.170036949012356,small
0.581,0.16970518602018517,small
0.601,0.169666759800235,small
0.621,0.1741348377180159,small
0.641,0.17490946980442934,small
0.661,0.17525470358348133,small
0.681,0.175238699525608,small
0.7010000000000001,0.17507464241627363,small
0.721,0.18139574119627924,small
0.741,0.19657795102068085,small
0.761,0.1890808262997672,small
0.781,0.18926863066106808,small
0.801,0.19192302435445135,small
0.8210000000000001,0.19493987922232514,small
0.841,0.18476761038412332,small
0.861,0.1722427218657051,small
0.881,0.17314253753210035,small
0.901,0.16250551427665844,small
0.921,0.19403032034655734,small
0.9410000000000001,0.2037394891778683,small
0.961,0.20177387555175996,small
0.981,0.1692805109872629,small
0.999,0.19840177375310242,small
0.001,0.5248665686069665,big
0.021,0.1682288261614058,big
0.041,0.10286359422339722,big
0.061,0.09321799921388266,big
0.081,0.05588303509440022,big
0.101,0.04381853550208663,big
0.121,0.044432813387071037,big
0.14100000000000001,0.04288800028104962,big
0.161,0.04873459136720294,big
0.181,0.040105487044705866,big
0.201,0.041474460132328236,big
0.221,0.03819722603020803,big
0.241,0.039124445356355016,big
0.261,0.04101645989526132,big
0.281,0.04150845357657807,big
0.301,0.03710305654719282,big
0.321,0.03821171575498685,big
0.341,0.03408523319035312,big
0.361,0.03526756749559403,big
0.381,0.03643268153099499,big
0.401,0.03518849147264817,big
0.421,0.03178549437101873,big
0.441,0.03102473146981836,big
0.461,0.027462343968435853,big
0.481,0.02697282785406593,big
0.501,0.026891394756677723,big
0.521,0.030036404691108274,big
0.541,0.03067963268639496,big
0.561,0.030158969064840214,big
0.581,0.028964528032422852,big
0.601,0.02926085466411893,big
0.621,0.03005717873451031,big
0.641,0.0303634443125985,big
0.661,0.029196588298042992,big
0.681,0.028788813689774446,big
0.7010000000000001,0.030681719581990046,big
0.721,0.029563190184142933,big
0.741,0.02936330949502328,big
0.761,0.03041458933703376,big
0.781,0.0291748934784849,big
0.801,0.030358813020363692,big
0.8210000000000001,0.0311370927138965,big
0.841,0.030984041517069152,big
0.861,0.032675975179820224,big
0.881,0.03541801298670195,big
0.901,0.035827877971252295,big
0.921,0.03578196669807697,big
0.9410000000000001,0.034004374725756195,big
0.961,0.040867156982888446,big
0.981,0.04842924875939268,big
0.999,0.047606056436365854,big
