dtv,case
0.02347924742250983,small
0.033170936982898684,small
0.02449231273537158,small
0.02525940200132854,small
0.02898653778867941,small
0.03654631079586339,small
0.3529535703587833,small
0.03150759630693332,small
0.030067473688542963,small
0.26973303560891243,small
0.03361693737992077,small
0.48579119013556105,small
0.03056832575267407,small
0.02895655947361142,small
0.03267900133500555,small
0.03563092618485396,small
0.02344115563758867,small
0.036577767754946214,small
0.02260276805300748,small
0.027397528162139355,small
0.034621391635379195,small
0.3796223023556176,small
0.024287598567806386,small
0.03153966772370688,small
0.1741216112241745,small
0.03517124662747831,small
0.05132110803065288,small
0.030461674148792972,small
0.030783011067532038,small
0.03474030071492239,small
0.0397464603889839,small
0.02986101073978876,small
0.03765237236132931,small
0.025921603049323155,small
0.028897381503213252,small
0.020332042063560048,small
0.21610798712421841,small
0.03738169209283511,small
0.07543019069237596,small
0.03499704630144416,small
0.3956353627945055,small
0.33879809571026026,small
0.033259012189518225,small
0.028322167254779394,small
0.0365254400194912,small
0.020205741617169128,small
0.03257173464827471,small
0.4246783507464761,small
0.03455821118104426,small
0.288466640902383,small
0.037330910993121594,small
0.03580902479415353,small
0.02682131653575137,small
0.039001688253475275,small
0.0353060744913213,small
0.0287412412062714,small
0.03645095430947818,small
0.018725421143687748,small
0.02461100133761688,small
0.38348573022987725,small
0.04380935356721034,small
0.04299192555160737,small
0.23989939563586807,small
0.027124086735525608,small
0.03412837932727526,small
0.22767466287931257,small
0.018728699161466543,small
0.03095684828362624,small
0.4787364775111551,small
0.026404782696666133,small
0.03265924067975564,small
0.31195769213194324,small
0.03727761484250073,small
0.037743234033114026,small
0.03415179276588346,small
0.2276933898018494,small
0.03465444767647192,small
0.03064595881208477,small
0.024661275563943298,small
0.02825860687549748,small
0.032929956625537424,small
0.04107665331494157,small
0.03219070733244706,small
0.026528284163050416,small
0.025848998815496866,small
0.047366528292640375,small
0.03124809252747255,small
0.03340826099575536,small
0.035024963534282694,small
0.028017171751649524,small
0.21469110548174355,small
0.03812131963770304,small
0.025886025966966906,small
0.04296381122461782,small
0.04451967140765423,small
0.4201602008522331,small
0.021281031452466133,small
0.028156744572234212,small
0.02752480992567016,small
0.02260022347460554,small
0.03256088954454951,small
0.023721185243245867,small
0.054891565132123746,small
0.032354773650000425,small
0.30852285674352714,small
0.02657193220066691,small
0.4132800794551975,small
0.02867582683772413,small
0.3290666351635693,small
0.041438907225101636,small
0.02550094597403508,small
0.027382916005939777,small
0.031163023863048495,small
0.2184418772068692,small
0.02802795540528213,small
0.037074150019726464,small
0.029433653850859116,small
0.020599434887873413,small
0.03973147780256825,small
0.029198881404423373,small
0.04882234295598063,small
0.029216602382048987,small
0.03000987506217482,small
0.03106879118128559,small
0.028029715745087187,small
0.2745148775289641,small
0.029806726329769273,small
0.029726974603763286,small
0.026413785599014937,small
0.0314013862300289,small
0.03278298137040985,small
0.03749262133479093,small
0.03551955509907521,small
0.02722022007371047,small
0.03632105648905139,small
0.03073876362397998,small
0.0377782498261076,small
0.029820830907853542,small
0.03365953409892969,small
0.040048400776834484,small
0.024357121078786147,small
0.02161018201115254,small
0.025569393229085906,small
0.03994511761051235,small
0.035095751506132956,small
0.2558637117293726,small
0.022954635801840467,small
0.02219692604797405,small
0.03553613699945952,small
0.03168422932521643,small
0.050045339648273686,small
0.042611037237564806,small
0.02036385495903389,small
0.31636413476774816,small
0.039284559715279145,small
0.025113108249063727,small
0.034119820237680676,small
0.03416144603180461,small
0.031464571960321715,small
0.024303096670075,small
0.023843126558934523,small
0.03497613659130026,small
0.036500534759272764,small
0.038249262435814516,small
0.0352773012914834,small
0.036564234456655055,small
0.361878507440064,small
0.032997800149764424,small
0.039369224310671615,small
0.023554133743918747,small
0.03671800008629824,small
0.027869308981227813,small
0.023534117869459328,small
0.03293590778327143,small
0.02586828661776436,small
0.028018416625938566,small
0.03336786130713104,small
0.03811175783469758,small
0.027917548439989594,small
0.0405087539115477,small
0.03724511620592352,small
0.03672361754404114,small
0.032257263543127815,small
0.02650541639273805,small
0.29596038230331334,small
0.028875701961176326,small
0.03913693749917122,small
0.022163246627394634,small
0.04212068101473859,small
0.039761635608918,small
0.030707847418756547,small
0.029883842356974038,small
0.03662000550371917,small
0.03195805212733651,small
0.036295445078766995,small
0.03680283129361637,small
0.02650434055166275,small
0.02470346488121841,small
0.35374059122157303,small
0.03895096026434097,small
